Difficulty,Title,AcceptanceRate,Link,Topics,PriorityScore,3. Six Months,5. All
MEDIUM,Rotate Array,,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",0.00,100,65.8
EASY,Two Sum,,https://leetcode.com/problems/two-sum,"Array, Hash Table",0.00,100,82.9
EASY,Best Time to Buy and Sell Stock,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",0.00,100,65.8
MEDIUM,Minimum Number of Operations to Make Array XOR Equal to K,,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,"Array, Bit Manipulation",0.00,,95.5
MEDIUM,Minimum Deletions to Make Character Frequencies Unique,,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,"Hash Table, String, Greedy, Sorting",0.00,,100
EASY,Valid Palindrome,,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",0.00,,65.8
EASY,Add Digits,,https://leetcode.com/problems/add-digits,"Math, Simulation, Number Theory",0.00,,65.8
EASY,Valid Anagram,,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",0.00,,72.9
MEDIUM,3Sum,,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",0.00,,72.9
HARD,Maximum Equal Frequency,,https://leetcode.com/problems/maximum-equal-frequency,"Array, Hash Table",0.00,,97.9
MEDIUM,Minimum Fuel Cost to Report to the Capital,,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital,"Tree, Depth-First Search, Breadth-First Search, Graph",0.00,,65.8
MEDIUM,Ugly Number III,,https://leetcode.com/problems/ugly-number-iii,"Math, Binary Search, Combinatorics, Number Theory",0.00,,95.5
EASY,Divide an Array Into Subarrays With Minimum Cost I,,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,"Array, Sorting, Enumeration",0.00,,95.5
EASY,Percentage of Letter in String,,https://leetcode.com/problems/percentage-of-letter-in-string,String,0.00,,95.5
HARD,Divide an Array Into Subarrays With Minimum Cost II,,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-ii,"Array, Hash Table, Sliding Window, Heap (Priority Queue)",0.00,,95.5
MEDIUM,Maximum XOR After Operations,,https://leetcode.com/problems/maximum-xor-after-operations,"Array, Math, Bit Manipulation",0.00,,95.5
MEDIUM,Equal Sum Arrays With Minimum Number of Operations,,https://leetcode.com/problems/equal-sum-arrays-with-minimum-number-of-operations,"Array, Hash Table, Greedy, Counting",0.00,,95.5
HARD,Find a Value of a Mysterious Function Closest to Target,,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,"Array, Binary Search, Bit Manipulation, Segment Tree",0.00,,95.5
MEDIUM,Maximize the Topmost Element After K Moves,,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy",0.00,,95.5
HARD,Trapping Rain Water,,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",0.00,,55.9
MEDIUM,Reconstruct a 2-Row Binary Matrix,,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix,"Array, Greedy, Matrix",0.00,,55.9
MEDIUM,Longest Substring Without Repeating Characters,,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",0.00,,55.9
MEDIUM,Permutations,,https://leetcode.com/problems/permutations,"Array, Backtracking",0.00,,55.9
